timestamp,origin_latitude_longitude,destination_latitude_longitude,origin_addresses,destination_addresses,distance_value
2018-10-18 11:30:14,"51.72756055,5.547473487","51.673471,5.604358","Kortdreef 15, 5384 PV Heesch, Netherlands","Nistelrodeseweg 10, 5406 PT Uden, Netherlands",9365
2018-10-18 11:30:15,"51.72756055,5.547473487","51.673471,5.604358","Kortdreef 15, 5384 PV Heesch, Netherlands","Nistelrodeseweg 10, 5406 PT Uden, Netherlands",9365
2018-10-18 11:30:16,"50.6772072,5.5959908","50.814113,5.166075","Rue Florent Boclinville 151, 4041 Herstal, Belgium","Tiensesteenweg 170, 3800 Sint-Truiden, Belgium",40423
2018-10-18 11:30:17,"50.9442881,5.4674197","50.814113,5.166075","De Wilgen 15, 3600 Genk, Belgium","Tiensesteenweg 170, 3800 Sint-Truiden, Belgium",34434
2018-10-18 11:30:19,"52.3802093,4.872755698","51.953257,4.55655","Van Hallstraat 593, 1051 HD Amsterdam, Netherlands","Marten Meesweg 25, 3068 AV Rotterdam, Netherlands",79996
2018-10-18 11:30:20,"52.34397807,4.825849925","51.953257,4.55655","Count Basiestraat 18, 1066 GM Amsterdam, Netherlands","Marten Meesweg 25, 3068 AV Rotterdam, Netherlands",72277
2018-10-18 11:32:20,"51.72756055,5.547473487","51.673471,5.604358","Kortdreef 15, 5384 PV Heesch, Netherlands","Nistelrodeseweg 10, 5406 PT Uden, Netherlands",9365
2018-10-18 11:32:21,"51.72756055,5.547473487","51.673471,5.604358","Kortdreef 15, 5384 PV Heesch, Netherlands","Nistelrodeseweg 10, 5406 PT Uden, Netherlands",9365
2018-10-18 11:32:21,"50.6772072,5.5959908","50.814113,5.166075","Rue Florent Boclinville 151, 4041 Herstal, Belgium","Tiensesteenweg 170, 3800 Sint-Truiden, Belgium",40423
2018-10-18 11:32:22,"50.9442881,5.4674197","50.814113,5.166075","De Wilgen 15, 3600 Genk, Belgium","Tiensesteenweg 170, 3800 Sint-Truiden, Belgium",34434
2018-10-18 11:32:23,"52.3802093,4.872755698","51.953257,4.55655","Van Hallstraat 593, 1051 HD Amsterdam, Netherlands","Marten Meesweg 25, 3068 AV Rotterdam, Netherlands",79996
2018-10-18 11:32:23,"52.34397807,4.825849925","51.953257,4.55655","Count Basiestraat 18, 1066 GM Amsterdam, Netherlands","Marten Meesweg 25, 3068 AV Rotterdam, Netherlands",72277
2018-10-18 11:33:25,"51.72756055,5.547473487","51.673471,5.604358","Kortdreef 15, 5384 PV Heesch, Netherlands","Nistelrodeseweg 10, 5406 PT Uden, Netherlands",9365
2018-10-18 11:33:26,"51.72756055,5.547473487","51.673471,5.604358","Kortdreef 15, 5384 PV Heesch, Netherlands","Nistelrodeseweg 10, 5406 PT Uden, Netherlands",9365
2018-10-18 11:33:27,"50.6772072,5.5959908","50.814113,5.166075","Rue Florent Boclinville 151, 4041 Herstal, Belgium","Tiensesteenweg 170, 3800 Sint-Truiden, Belgium",40423
2018-10-18 11:33:28,"50.9442881,5.4674197","50.814113,5.166075","De Wilgen 15, 3600 Genk, Belgium","Tiensesteenweg 170, 3800 Sint-Truiden, Belgium",34434
2018-10-18 11:33:29,"52.3802093,4.872755698","51.953257,4.55655","Van Hallstraat 593, 1051 HD Amsterdam, Netherlands","Marten Meesweg 25, 3068 AV Rotterdam, Netherlands",79996
2018-10-18 11:33:31,"52.34397807,4.825849925","51.953257,4.55655","Count Basiestraat 18, 1066 GM Amsterdam, Netherlands","Marten Meesweg 25, 3068 AV Rotterdam, Netherlands",72277
2018-10-18 11:43:32,"51.72756055,5.547473487","51.673471,5.604358","Kortdreef 15, 5384 PV Heesch, Netherlands","Nistelrodeseweg 10, 5406 PT Uden, Netherlands",9365
2018-10-18 11:43:33,"51.72756055,5.547473487","51.673471,5.604358","Kortdreef 15, 5384 PV Heesch, Netherlands","Nistelrodeseweg 10, 5406 PT Uden, Netherlands",9365
2018-10-18 11:43:34,"50.6772072,5.5959908","50.814113,5.166075","Rue Florent Boclinville 151, 4041 Herstal, Belgium","Tiensesteenweg 170, 3800 Sint-Truiden, Belgium",40423
2018-10-18 11:43:35,"50.9442881,5.4674197","50.814113,5.166075","De Wilgen 15, 3600 Genk, Belgium","Tiensesteenweg 170, 3800 Sint-Truiden, Belgium",34434
2018-10-18 11:43:36,"52.3802093,4.872755698","51.953257,4.55655","Van Hallstraat 593, 1051 HD Amsterdam, Netherlands","Marten Meesweg 25, 3068 AV Rotterdam, Netherlands",79996
2018-10-18 11:43:37,"52.34397807,4.825849925","51.953257,4.55655","Count Basiestraat 18, 1066 GM Amsterdam, Netherlands","Marten Meesweg 25, 3068 AV Rotterdam, Netherlands",72277
2018-10-18 11:53:38,"51.72756055,5.547473487","51.673471,5.604358","Kortdreef 15, 5384 PV Heesch, Netherlands","Nistelrodeseweg 10, 5406 PT Uden, Netherlands",9365
2018-10-18 11:53:39,"51.72756055,5.547473487","51.673471,5.604358","Kortdreef 15, 5384 PV Heesch, Netherlands","Nistelrodeseweg 10, 5406 PT Uden, Netherlands",9365
2018-10-18 11:53:39,"50.6772072,5.5959908","50.814113,5.166075","Rue Florent Boclinville 151, 4041 Herstal, Belgium","Tiensesteenweg 170, 3800 Sint-Truiden, Belgium",40423
2018-10-18 11:53:40,"50.9442881,5.4674197","50.814113,5.166075","De Wilgen 15, 3600 Genk, Belgium","Tiensesteenweg 170, 3800 Sint-Truiden, Belgium",34434
